logged_at,strategy,direction,requested_risk_percent,approved,rejection_reason,final_risk_percent,final_lot_estimate,legacy_would_approve,legacy_risk_percent,risk_trimmed,risk_percent_saved
2026-07-17T01:51:09.390459+00:00,SMC,SELL,1.5,True,,0.75,0.07,True,1.5,True,0.75
2026-07-17T01:52:10.046606+00:00,SMC,SELL,1.5,True,,0.75,0.07,True,1.5,True,0.75
2026-07-17T01:52:10.078937+00:00,MICRO,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T01:53:10.772232+00:00,SMC,SELL,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T01:54:11.504264+00:00,SMC,SELL,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T01:58:15.132660+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T01:59:15.591716+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:00:16.088905+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:04:16.664333+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:05:17.093658+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:06:17.538217+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:07:18.051487+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:08:18.504130+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:09:18.927925+00:00,SMC,SELL,1.35,True,,0.75,0.07,True,1.35,True,0.6
2026-07-17T02:13:21.675058+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:14:22.142099+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:15:22.466112+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:16:22.907208+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:17:23.415636+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:18:23.816735+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:19:24.270509+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:20:24.841535+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:21:25.232796+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:22:25.791101+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:23:26.175488+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:24:26.634711+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:25:27.001889+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:26:27.421966+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:27:27.861290+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:28:28.268825+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T02:29:28.721030+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:30:29.164027+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:31:29.596955+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:32:30.198724+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T02:33:30.578183+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:34:31.547586+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:35:31.948624+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:36:32.563805+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:37:32.997933+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:38:33.404770+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:39:34.007919+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T02:40:34.608191+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:41:35.020718+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T02:42:35.449156+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:43:35.877912+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:44:36.297770+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:46:37.242959+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:47:37.627382+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:48:38.066609+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T02:49:38.468973+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:50:38.891174+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:51:39.300337+00:00,SMC,SELL,1.5,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.5,False,1.5
2026-07-17T02:52:39.757152+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:53:40.473140+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:54:40.936061+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
2026-07-17T02:55:41.354150+00:00,SMC,SELL,1.35,False,PER_STRATEGY_MAX_OPEN_HIT,0.0,0.0,True,1.35,False,1.35
