ticket,strategy,symbol,type,volume,profit,open_price,close_price,open_time,close_time,comment
56731073214,SCALP,XAUUSD,BUY,0.01,-7.28,4204.25,4204.25,2026-06-12 19:21:15,2026-06-12 19:21:15,[sl 4204.25]
56731448632,SCALP,XAUUSD,BUY,0.01,-7.37,4210.18,4210.18,2026-06-12 19:38:56,2026-06-12 19:38:56,[sl 4210.18]
56731611828,SCALP,XAUUSD,BUY,0.01,21.16,4185.21,4185.21,2026-06-12 19:43:13,2026-06-12 19:43:13,[tp 4185.21]
56732105567,SCALP,XAUUSD,BUY,0.01,-10.42,4197.0,4197.0,2026-06-12 20:01:42,2026-06-12 20:01:42,[sl 4197.00]
56732105578,SCALP,XAUUSD,BUY,0.01,-10.4,4197.0,4197.0,2026-06-12 20:01:42,2026-06-12 20:01:42,[sl 4197.00]
56733312901,SCALP,XAUUSD,BUY,0.01,1.42,4189.82,4189.82,2026-06-12 20:52:45,2026-06-12 20:52:45,[sl 4189.82]
56733939694,SCALP,XAUUSD,BUY,0.01,-12.37,4215.46,4215.46,2026-06-12 21:15:32,2026-06-12 21:15:32,[sl 4215.46]
8781010731,SMC,XAUUSD,BUY,0.1,-4.8,4292.81,4292.81,2026-06-18T03:05:34+00:00,2026-06-18T03:05:34+00:00,[sl 4292.81],4001,4001
8781020670,SMC,XAUUSD,BUY,0.1,12.3,4291.76,4291.76,2026-06-18T03:06:03+00:00,2026-06-18T03:06:03+00:00,[tp 4291.76],4001,4001
8781026571,SMC,XAUUSD,BUY,0.1,-4.3,4293.28,4293.28,2026-06-18T03:06:24+00:00,2026-06-18T03:06:24+00:00,[sl 4293.28],4001,4001
8781041261,SMC,XAUUSD,BUY,0.1,-5.1,4297.37,4297.37,2026-06-18T03:06:50+00:00,2026-06-18T03:06:50+00:00,[sl 4297.37],4001,4001
8781051791,SMC,XAUUSD,BUY,0.1,10.2,4293.28,4293.28,2026-06-18T03:07:17+00:00,2026-06-18T03:07:17+00:00,[tp 4293.28],4001,4001
8781059495,SMC,XAUUSD,BUY,0.1,-4.9,4295.74,4295.74,2026-06-18T03:07:50+00:00,2026-06-18T03:07:50+00:00,[sl 4295.74],4001,4001
8781063598,SMC,XAUUSD,BUY,0.1,10.1,4293.96,4293.96,2026-06-18T03:08:09+00:00,2026-06-18T03:08:09+00:00,[tp 4293.96],4001,4001
8781069663,SMC,XAUUSD,BUY,0.1,-5.0,4295.55,4295.55,2026-06-18T03:08:39+00:00,2026-06-18T03:08:39+00:00,[sl 4295.55],4001,4001
8781077565,SMC,XAUUSD,BUY,0.1,-5.4,4294.4,4294.4,2026-06-18T03:09:16+00:00,2026-06-18T03:09:16+00:00,[sl 4294.40],4001,4001
8781079689,SMC,XAUUSD,BUY,0.1,-5.4,4294.35,4294.35,2026-06-18T03:09:26+00:00,2026-06-18T03:09:26+00:00,[sl 4294.35],4001,4001
8781084547,SMC,XAUUSD,BUY,0.1,-5.0,4293.72,4293.72,2026-06-18T03:09:55+00:00,2026-06-18T03:09:55+00:00,[sl 4293.72],4001,4001
8781088434,SMC,XAUUSD,BUY,0.1,-4.9,4293.96,4293.96,2026-06-18T03:10:15+00:00,2026-06-18T03:10:15+00:00,[sl 4293.96],4001,4001
8781094719,SMC,XAUUSD,BUY,0.1,-5.5,4293.58,4293.58,2026-06-18T03:10:53+00:00,2026-06-18T03:10:53+00:00,[sl 4293.58],4001,4001
8781097653,SMC,XAUUSD,BUY,0.1,-4.9,4294.4,4294.4,2026-06-18T03:11:08+00:00,2026-06-18T03:11:08+00:00,[sl 4294.40],4001,4001
8781103933,SMC,XAUUSD,BUY,0.1,-5.0,4295.42,4295.42,2026-06-18T03:11:37+00:00,2026-06-18T03:11:37+00:00,[sl 4295.42],4001,4001
8781110804,SMC,XAUUSD,BUY,0.1,10.1,4294.7,4294.7,2026-06-18T03:12:17+00:00,2026-06-18T03:12:17+00:00,[tp 4294.70],4001,4001
8781112136,SMC,XAUUSD,BUY,0.1,-5.1,4295.17,4295.17,2026-06-18T03:12:24+00:00,2026-06-18T03:12:24+00:00,[sl 4295.17],4001,4001
8781121835,SMC,XAUUSD,BUY,0.1,10.0,4295.93,4295.93,2026-06-18T03:13:00+00:00,2026-06-18T03:13:00+00:00,[tp 4295.93],4001,4001
8781125223,SMC,XAUUSD,BUY,0.1,-5.0,4296.31,4296.31,2026-06-18T03:13:16+00:00,2026-06-18T03:13:16+00:00,[sl 4296.31],4001,4001
